id_componente,codigo,nivel,nome,unidade_responsavel
20001,COM0132,G,LINGUAGEM JORNALISTICA PARA RADIO E TV,DEPARTAMENTO DE COMUNICAÇÃO SOCIAL
20002,ESE0213,G,PROCESSO DE ALFABETIZACAO,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS
20003,DCS0003,G,ASPECTOS SOC.CULT.DO NORDESTE,DEPARTAMENTO DE CIÊNCIAS SOCIAIS
20004,DBF0003,G,BIOFISICA III,DEPARTAMENTO DE BIOFÍSICA E FARMACOLOGIA
20005,DCA0451,G,COMPUTACAO NUMERICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20006,DCA0416,G,SISTEMAS ESPECIALISTAS APLICADOS A AUTOMACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20007,DIM0072,G,TECNICAS DE ESPECIFICACAO FORMAL,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA
20008,ECO0008,G,ANALISE MACRO ECONOMICA I,DEPARTAMENTO DE ECONOMIA - DEPEC
20009,ECO0503,G,MONOGRAFIA II,DEPARTAMENTO DE ECONOMIA - DEPEC
20010,EDU0722,G,PRATICA DE ENSINO NA ESCOLA DE 1* GRAU,DEPARTAMENTO DE EDUCAÇÃO
20011,ELE0315,G,ELETRONICA DIGITAL I,DEPARTAMENTO DE ENGENHARIA ELÉTRICA
20012,DCA0404,G,ARQUITETURA DE COMPUTADORES,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20013,DCA0418,G,SUPERVISAO E CONTROLE OPERACIONAL DE SISTEMAS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20015,DCA0420,G,LINGUAGEM DE DESCRICAO DE HARDWARE,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20016,DPU0020,G,DIREITO ADMINISTRATIVO I,DEPARTAMENTO DE DIREITO PUBLICO - DIPUB
20017,EST0073,G,ESTATISTICA NAO-PARAMETRICA,DEPARTAMENTO DE ESTATISTICA
20018,EST0077,G,METODOS COMPUTACIONAIS EM ESTATISTICA,DEPARTAMENTO DE ESTATISTICA
20019,EST0064,G,AMOSTRAGEM I,DEPARTAMENTO DE ESTATISTICA
20020,EST0083,G,PLANEJAMENTO DE EXPERIMENTOS I,DEPARTAMENTO DE ESTATISTICA
20021,EST0075,G,ATIVIDADE DE CONSULTORIA ESTATÍSTICA,DEPARTAMENTO DE ESTATISTICA
20022,CIV0322,G,HIDROLOGIA,DEPARTAMENTO DE ENGENHARIA CIVIL
20023,GEO0022,G,HIDROGEOLOGIA,DEPARTAMENTO DE GEOLOGIA
20024,LET0308,G,ESTILISTICA DA LINGUA PORTUGUESA I,DEPARTAMENTO DE LETRAS
20025,LET0317,G,FILOLOGIA PORTUGUESA,DEPARTAMENTO DE LETRAS
20026,LET0564,G,LITERATURA FRANCESA IV,DEPARTAMENTO DE LETRAS
20027,MAT0005,G,CALCULO DIFERENCIAL E INTEGRAL II,DEPARTAMENTO DE MATEMÁTICA
20028,MAT0015,G,EQUACOES DIFERENCIAIS ORDINARIAS,DEPARTAMENTO DE MATEMÁTICA
20029,DCA0414,G,INTRODUCAO A ROBOTICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20030,DCA0441,G,TOPICOS ESPECIAIS EM ROBOTICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20031,DCA0440,G,SISTEMAS ROBOTICOS AUTONOMOS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20032,DCA0435,G,COMPUTACAO GRAFICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20033,FIS0313,G,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL
20034,DCA0304,G,METODOS COMPUTACIONAIS EM ENGENHARIA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
20035,MEC0375,G,TRANSMISSAO DE CALOR,DEPARTAMENTO DE ENGENHARIA MECANICA
20036,DEF0206,G,SOCORROS DE URGENCIA,DEPARTAMENTO DE EDUCAÇÃO FÍSICA
20037,DEQ0354,G,ENGENHARIA DE QUALIDADE TOTAL,DEPARTAMENTO DE ENGENHARIA QUIMICA
20038,QUI0040,G,FISICO-QUIMICA I,INSTITUTO DE QUÍMICA
20039,QUI0147,G,QUIMICA INDUSTRIAL BASICA,INSTITUTO DE QUÍMICA
20040,DEQ0327,G,MICROBIOLOGIA E ENZIMOLOGIA INDUSTRIAL,DEPARTAMENTO DE ENGENHARIA QUIMICA
20043,ACT0047,G,TOPICOS AVANCADOS EM ANALISES CLINICAS,DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS
20044,ACT0042,G,BIOQUIMICA HORMONAL,DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS
20045,ACT0045,G,UROANALISE,DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS
20047,ADM0011,G,ADMINISTRACAO DE VENDAS,DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
20048,ADM0014,G,PESQUISA MERCADOLOGICA,DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
20049,ADM0004,G,ADMINISTRACAO DE MATERIAL,DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
20050,ADM0002,G,TEORIA GERAL DA ADMINISTRACAO,DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
20051,ADM0032,G,ADMINISTRACAO DE PESSOAL,DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD
